,palmOil,controversialWeapons,gambling,socialScore,nuclear,furLeather,alcoholic,gmo,catholic,socialPercentile,peerCount,governanceScore,environmentPercentile,animalTesting,tobacco,totalEsg,highestControversy,esgPerformance,coal,pesticides,adult,percentile,peerGroup,smallArms,environmentScore,governancePercentile,militaryContract,company_ticker
Value,False,False,False,9.17,False,False,False,False,False,0,53,6.38,0,False,False,19.94,2,LAG_PERF,False,False,False,22.72,Machinery,False,4.38,0,False,ITW
Value,False,False,False,11.06,False,False,False,False,False,0,73,5.96,0,True,False,29.41,2,,False,False,False,57.41,Chemicals,False,12.4,0,False,SHW
Value,False,False,False,8.96,True,False,False,False,False,0,103,6.27,0,False,False,28.24,2,,True,False,False,52.97,Utilities,False,13.01,0,False,D
Value,False,False,False,9.97,False,False,False,False,False,0,41,5.9,0,False,False,20.94,2,,False,False,False,26.05,Transportation,False,5.07,0,False,FDX
Value,False,False,False,9.13,False,False,False,False,False,0,73,7.39,0,True,False,30.04,3,LEAD_PERF,False,False,False,59.73,Chemicals,False,13.52,0,False,DD
Value,False,False,False,17.13,False,False,False,False,False,0,60,5.42,0,False,False,22.65,2,,False,False,False,30.68,Healthcare,False,0.1,0,False,HUM
Value,False,False,False,9.32,False,False,False,False,False,0,29,8.05,0,True,False,24.28,2,,False,False,False,36.69,Household Products,False,6.9,0,False,EL
Value,False,False,False,7.53,False,False,False,False,False,0,29,7.03,0,False,False,23.82,0,,False,False,False,36.23,Semiconductors,False,9.25,0,True,ADI
Value,False,False,False,8.36,False,False,False,False,False,0,91,10.72,0,False,False,19.18,2,LAG_PERF,False,False,False,20.35,Insurance,False,0.11,0,False,MMC
Value,False,False,False,8.44,False,False,False,False,False,0,73,6.17,0,True,False,24.09,2,,False,False,False,37.44,Chemicals,False,9.48,0,False,ECL
Value,False,False,False,3.6,False,False,False,False,True,0,83,6.63,0,True,False,11.45,3,LAG_PERF,False,False,False,3.15,Pharmaceuticals,False,1.22,0,False,ILMN
Value,False,False,False,8.96,False,False,False,False,False,0,55,7.65,0,True,False,19.04,2,LAG_PERF,False,False,False,19.92,Healthcare,False,2.43,0,False,EW
Value,False,False,False,9.52,False,False,False,False,False,0,91,11.93,0,False,False,23.19,2,,False,False,False,34.03,Insurance,False,1.75,0,False,PGR
Value,False,False,False,12.56,False,False,False,False,False,0,37,7.67,0,False,False,30.51,4,LEAD_PERF,False,False,False,61.37,Automobiles,False,10.28,0,False,GM
Value,False,False,False,8.48,False,False,False,False,False,0,57,5.15,0,False,False,16.88,2,LAG_PERF,False,False,False,13.6,Retailing,False,3.25,0,False,DG
Value,False,False,False,15.36,False,False,False,False,False,0,60,10.48,0,True,False,28.83,2,,False,False,False,53.67,Healthcare,False,2.99,0,False,BSX
Value,False,False,False,9.94,False,False,False,False,False,0,15,5.05,0,False,False,23.22,3,,False,False,False,34.12,Precious Metals,False,8.24,0,False,NEM
Value,False,False,False,6.63,False,False,False,False,False,0,19,5.51,0,False,False,17.01,1,LAG_PERF,False,False,False,12.87,Electrical Equipment,False,4.87,0,True,ETN
